pair_id,from_node,to_node,reachable,reason,same_path,short_total_length_km,short_total_weight_km,short_edges,short_hotspot_edges,short_hotspot_share_pct,short_avg_hotspot_rate,short_max_hotspot_rate,avoid_total_length_km,avoid_total_weight_km,avoid_edges,avoid_hotspot_edges,avoid_hotspot_share_pct,avoid_avg_hotspot_rate,avoid_max_hotspot_rate,extra_distance_km,hotspot_edges_reduction,avg_hotspot_rate_reduction,max_hotspot_rate_reduction,explainability_short
74,A407,A110,1,,0.0,7.9,9.465217,6.0,1.0,16.667,0.086957,0.521739,8.165217,8.165217,6.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.086957,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
75,A407,A106,1,,0.0,6.1,7.665217,4.0,1.0,25.0,0.130435,0.521739,6.365217,6.365217,4.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.130435,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
76,A407,A106 Ruckholt Rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
77,A407,A1205,1,,0.0,8.6,10.165217,6.0,1.0,16.667,0.086957,0.521739,8.865217,8.865217,6.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.086957,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
78,A407,A107 Lower Clapton Rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
79,A407,A102,1,,0.0,6.185,8.334565,6.0,1.0,16.667,0.086957,0.521739,7.781884,7.781884,9.0,0.0,0.0,0.0,0.0,1.596884,1.0,0.086957,0.521739,  - A112 -> A104 | hotspot_rate=0.5217 | penalty_km=2.1496 | len_km=2.0600 |  | Edges added in the avoid route (top changes): |   + A2218 -> A205 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.9000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
80,A407,A1110,1,,0.0,6.5,8.065217,6.0,1.0,16.667,0.086957,0.521739,6.765217,6.765217,6.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.086957,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
81,A407,A11,1,,0.0,4.8,6.365217,4.0,1.0,25.0,0.130435,0.521739,5.065217,5.065217,4.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.130435,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
82,A407,B142,1,,0.0,5.3,6.865217,5.0,1.0,20.0,0.104348,0.521739,5.565217,5.565217,5.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.104348,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
83,A407,A11 Great Eastern Rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
