src,dst,length_km,n_rows,hotspot_rate,weight_km,penalty_km
A314,B363,1.1,288,0.0,1.1,0.0
A315,A219,2.1,576,0.0,2.1,0.0
A315,A30/A312/A4,1.911111111111111,648,0.0,1.911111111111111,0.0
A315,A3000,0.2,288,0.0,0.2,0.0
A315,Notting Hill Gate roundabout,0.94,360,0.0,0.94,0.0
A315 Studland St,A219/A306,0.8,144,0.0,0.8,0.0
A316,A306,2.8,576,0.0,2.8,0.0
A316,A314,0.9285714285714286,504,0.0,0.9285714285714286,0.0
A316,A402,0.5,288,0.0,0.5,0.0
A316,LA Boundary,0.8999999999999999,288,0.0,0.8999999999999999,0.0
A3200,LA Boundary,0.6625000000000001,576,0.0,0.6625000000000001,0.0
A3201,A3200,0.2,216,0.0,0.2,0.0
A3202,A2,0.4,360,0.0,0.4,0.0
A3202,A3036/A3200 roundabout,0.38,360,0.0,0.38,0.0
A3202,A3200,0.9,360,0.0,0.9,0.0
A3202,A3201,0.5,288,0.0,0.5,0.0
A3203,A3202,0.3,288,0.0,0.3,0.0
A3203,Parliament Square,0.7,504,0.0,0.7,0.0
A3204,A215,0.3,648,0.0,0.3,0.0
A3204,Durham St,0.3,180,0.0,0.3,0.0
A3204 Durham Lane,A23,0.7,359,0.0,0.7,0.0
A3205,A3036,0.4666666666666667,432,0.0,0.4666666666666667,0.0
A3205,LA Boundary,0.9,360,0.0,0.9,0.0
A3205/A3220,A3220,0.2,108,0.0,0.2,0.0
A3209,LA Boundary,0.3,792,0.0,0.3,0.0
A3210,A307,2.52,720,0.0,2.52,0.0
A3211,St Bride St,0.3,504,0.0,0.3,0.0
A3216,A202,1.6,648,0.0,1.6,0.0
A3217,A308,0.3,144,0.0,0.3,0.0
A3217,A4,0.6,936,0.0,0.6,0.0
A3217,A4/A315,1.1,216,0.0,1.1,0.0
A3217,Buckingham Gate,0.3,288,0.0,0.3,0.0
A3218,A304,1.5,576,0.0,1.5,0.0
A3218,A4,0.7,180,0.0,0.7,0.0
A3219,LA Boundary,0.7,216,0.0,0.7,0.0
A3220,A3216,1.290909090909091,792,0.0,1.290909090909091,0.0
A3220,A3220,0.3647058823529412,1224,0.0,0.3647058823529412,0.0
A3220,A4,1.7333333333333334,864,0.0,1.7333333333333334,0.0
A3220,A4204,1.1,432,0.0,1.1,0.0
A3220,LA Boundary,0.8,288,0.0,0.8,0.0
