route,seq,src,dst,length_km,hotspot_rate,weight_km,penalty_km,from_node,to_node
avoid_hotspots,8,A1202,A101/A126,1.9,0.0,1.9,0.0,A407,A101/A126
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A1010
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A1010
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A1010
shortest_distance,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A1010
shortest_distance,5,A10,A1010,0.9375,0.0,0.9375,0.0,A407,A1010
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1010
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1010
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A1010
avoid_hotspots,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A1010
avoid_hotspots,5,A10,A1010,0.9375,0.0,0.9375,0.0,A407,A1010
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1011
shortest_distance,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A1011
shortest_distance,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A1011
shortest_distance,4,A112,A118,2.0,0.0,2.0,0.0,A407,A1011
shortest_distance,5,A118,A1011,0.8,0.0,0.8,0.0,A407,A1011
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1011
avoid_hotspots,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A1011
avoid_hotspots,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A1011
avoid_hotspots,4,A112,A118,2.0,0.0,2.0,0.0,A407,A1011
avoid_hotspots,5,A118,A1011,0.8,0.0,0.8,0.0,A407,A1011
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A102
shortest_distance,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A102
shortest_distance,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A102
shortest_distance,4,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045,A407,A102
shortest_distance,5,A104,A107 Mare St,0.3,0.0,0.3,0.0,A407,A102
shortest_distance,6,A107 Mare St,A102,0.3,0.0,0.3,0.0,A407,A102
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A102
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A102
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A102
avoid_hotspots,4,LA Boundary,A234,0.3,0.0,0.3,0.0,A407,A102
avoid_hotspots,5,A234,A2015,0.5,0.0,0.5,0.0,A407,A102
avoid_hotspots,6,A2015,A2218,0.2,0.0,0.2,0.0,A407,A102
avoid_hotspots,7,A2218,A205,1.9,0.0,1.9,0.0,A407,A102
avoid_hotspots,8,A205,A2213,0.4,0.0,0.4,0.0,A407,A102
avoid_hotspots,9,A2213,A102,0.2166666666666666,0.0,0.2166666666666666,0.0,A407,A102
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A103
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A103
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A103
shortest_distance,4,LA Boundary,A103,0.4,0.0,0.4,0.0,A407,A103
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A103
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A103
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A103
avoid_hotspots,4,LA Boundary,A103,0.4,0.0,0.4,0.0,A407,A103
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1037
shortest_distance,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A1037
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1037
avoid_hotspots,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A1037
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A104
shortest_distance,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A104
shortest_distance,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A104
shortest_distance,4,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045,A407,A104
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A104
avoid_hotspots,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A104
avoid_hotspots,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A104
avoid_hotspots,4,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045,A407,A104
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A105
shortest_distance,2,A406,A105,2.3,0.0,2.3,0.0,A407,A105
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A105
avoid_hotspots,2,A406,A105,2.3,0.0,2.3,0.0,A407,A105
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A1055
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A1055
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A1055
shortest_distance,4,LA Boundary,A1055,1.6,0.0,1.6,0.0,A407,A1055
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1055
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1055
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A1055
avoid_hotspots,4,LA Boundary,A1055,1.6,0.0,1.6,0.0,A407,A1055
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A1055 Conduit Lane
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A1055 Conduit Lane
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A1055 Conduit Lane
shortest_distance,4,LA Boundary,A1055 Conduit Lane,0.7,0.0,0.7,0.0,A407,A1055 Conduit Lane
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1055 Conduit Lane
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1055 Conduit Lane
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A1055 Conduit Lane
avoid_hotspots,4,LA Boundary,A1055 Conduit Lane,0.7,0.0,0.7,0.0,A407,A1055 Conduit Lane
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A106
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A106
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A106
shortest_distance,4,LA Boundary,A106,2.1,0.0,2.1,0.0,A407,A106
